Question,Mean
Q1,3.119047619047619
Q2,3.2222222222222223
Q3,3.32
Q4,3.2936507936507935
Q5,3.3015873015873014
Q6,3.0476190476190474
Q7,0.0
Q8,4.634146341463414
Q9,3.5161290322580645
Q10,1.4838709677419355
Q11,0.08064516129032258
Q12,4.564516129032258
Q13,2.3870967741935485
Q14,3.0080645161290325
Q15,3.0725806451612905
Q16,2.096774193548387
Q17,2.806451612903226
Q18,4.07258064516129
Q19,3.475806451612903
Q20,3.629032258064516
Q21,2.024193548387097
Q22,2.774193548387097
Q23,2.088709677419355
Q24,2.7338709677419355
Q25,1.7661290322580645
Q26,1.7338709677419355
Q27,2.217741935483871
Q28,2.282258064516129
Q29,1.903225806451613
Q30,2.0
